"","round","pick","overall","franchise_id","franchise_name","user_nickname","player_id","player_name","pos","team","bid_amount","nominating_team_id","is_keeper","can_keeper","autodraft_type","complete_date","in_progress","pick_id","drafted","lineupSlotId","memberId","tradeLocked"
"1",6,1,61,8,"The  Vindicators","Craven_Fearless",16339,"Brandon McManus","K","DEN",1,8,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,61,TRUE,17,"{0825400A-175E-4E93-A9DA-39DD8D4510F8}",FALSE
"2",8,1,85,8,"The  Vindicators","Craven_Fearless",-16018,"Saints D/ST","DST","NOS",1,8,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,85,TRUE,16,"{0825400A-175E-4E93-A9DA-39DD8D4510F8}",FALSE
"3",9,2,98,11,"Brenners Semicolon ","ESPNFAN1634782429",4361259,"Zach Wilson","QB","NYJ",1,11,FALSE,FALSE,3,2022-08-28 20:47:34,FALSE,98,TRUE,0,NA,FALSE
"4",11,3,123,10,"Lamar Lamar Lamar","MFosterMN",3917232,"Tyler Bass","K","BUF",1,10,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,123,TRUE,17,"{85EC71D8-8F58-4E74-AC71-D88F58AE745C}",FALSE
"5",11,5,125,5,"I cant  Stafford Him ","espn34496267",3052587,"Baker Mayfield","QB","CAR",1,5,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,125,TRUE,20,"{01A9ABCC-DAD1-4A55-AF72-8A9635B0C6D3}",FALSE
"6",12,9,141,4,"Total Luckbox","theonedon",3918639,"Gerald Everett","TE","LAC",1,4,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,141,TRUE,20,"{EEA02545-1141-4227-9699-C91551004D68}",FALSE
"7",12,12,144,12,"Böblingen Ballers","olliwolli",4362887,"Justin Fields","QB","CHI",1,12,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,144,TRUE,0,"{9A0F8FD2-F018-4225-9F35-8D4CDC07130E}",FALSE
"8",13,1,145,8,"The  Vindicators","Craven_Fearless",4372485,"Rondale Moore","WR","ARI",1,8,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,145,TRUE,23,"{0825400A-175E-4E93-A9DA-39DD8D4510F8}",FALSE
"9",13,2,146,11,"Brenners Semicolon ","ESPNFAN1634782429",4035115,"Albert Okwuegbunam","TE","DEN",1,11,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,146,TRUE,20,"{564EC9FD-D9B8-489F-88D8-92D9945F0598}",FALSE
"10",13,4,148,2,"Lambeau Leaps","espn01620634",4697815,"Rachaad White","RB","TBB",1,2,FALSE,FALSE,0,2022-08-28 20:47:34,FALSE,148,TRUE,20,"{20A441DE-3CBA-4EF1-A917-B13880BAF0A3}",FALSE
