"","round","pick","overall","franchise_id","franchise_name","user_nickname","player_id","player_name","pos","team","bid_amount","nominating_team_id","is_keeper","can_keeper","autodraft_type","complete_date","in_progress","pick_id","drafted","lineupSlotId","tradeLocked","memberId","trans_date"
"1",7,10,82,2,"Lambeau Leaps","espn01620634",4428085,"Luke Musgrave","TE","GBP",1,4,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,82,TRUE,6,FALSE,"{20A441DE-3CBA-4EF1-A917-B13880BAF0A3}",2023-09-03
"2",11,1,121,11,"Brenners Semicolon ","ESPNFAN1634782429",2573401,"Tyler Higbee","TE","LAR",1,6,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,121,TRUE,23,FALSE,"{564EC9FD-D9B8-489F-88D8-92D9945F0598}",2023-09-03
"3",12,2,134,3,"Running Up That Hill","ESPNFAN4315491287",14993,"Greg Zuerlein","K","NYJ",1,11,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,134,TRUE,17,FALSE,"{FE810BBA-EA12-4A91-81A8-A479052B0537}",2023-09-03
"4",12,3,135,10,"Lamar Lamar Lamar","MFosterMN",3917232,"Tyler Bass","K","BUF",1,3,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,135,TRUE,17,FALSE,"{85EC71D8-8F58-4E74-AC71-D88F58AE745C}",2023-09-03
"5",12,10,142,2,"Lambeau Leaps","espn01620634",-16009,"Packers D/ST","DST","GBP",1,4,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,142,TRUE,16,FALSE,"{20A441DE-3CBA-4EF1-A917-B13880BAF0A3}",2023-09-03
"6",12,12,144,6,"Team Da Rejects","espn68203723",-16023,"Steelers D/ST","DST","PIT",1,8,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,144,TRUE,16,FALSE,"{84B589F7-D79C-49C8-B589-F7D79CA9C8F3}",2023-09-03
"7",13,9,153,4,"Total Luckbox","theonedon",-16017,"Patriots D/ST","DST","NEP",1,1,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,153,TRUE,16,FALSE,"{EEA02545-1141-4227-9699-C91551004D68}",2023-09-03
"8",13,12,156,11,"Brenners Semicolon ","ESPNFAN1634782429",4249087,"Matt Gay","K","IND",1,8,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,156,TRUE,17,FALSE,"{564EC9FD-D9B8-489F-88D8-92D9945F0598}",2023-09-03
"9",14,1,157,5,"Lawrence  and Order CI","espn34496267",4360078,"Alec Pierce","WR","IND",1,6,FALSE,FALSE,1,2023-09-03 18:42:52,FALSE,157,TRUE,20,FALSE,NA,2023-09-03
"10",14,2,158,12,"Böblingen Ballers","olliwolli",4372485,"Rondale Moore","WR","ARI",1,11,FALSE,FALSE,4,2023-09-03 18:42:52,FALSE,158,TRUE,20,FALSE,NA,2023-09-03
"11",14,3,159,7,"Team Roy","JR251978",3115394,"DJ Chark Jr.","WR","CAR",1,3,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,159,TRUE,20,FALSE,"{E6D02FA0-B840-4917-B671-15C15A62FF1C}",2023-09-03
"12",14,4,160,1,"Ooh Baby I Like It Ra","Brandon35119",4432577,"C.J. Stroud","QB","HOU",1,10,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,160,TRUE,20,FALSE,"{A1F454B7-8B7A-43B3-B454-B78B7A93B3D0}",2023-09-03
"13",14,5,161,4,"Total Luckbox","theonedon",3918639,"Gerald Everett","TE","LAC",1,5,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,161,TRUE,20,FALSE,"{EEA02545-1141-4227-9699-C91551004D68}",2023-09-03
"14",14,6,162,8,"The  Vindicators","Craven_Fearless",4240600,"Kadarius Toney","WR","KCC",1,12,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,162,TRUE,20,FALSE,"{0825400A-175E-4E93-A9DA-39DD8D4510F8}",2023-09-03
"15",14,7,163,11,"Brenners Semicolon ","ESPNFAN1634782429",15864,"Geno Smith","QB","SEA",1,7,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,163,TRUE,20,FALSE,"{564EC9FD-D9B8-489F-88D8-92D9945F0598}",2023-09-03
"16",14,8,164,5,"Lawrence  and Order CI","espn34496267",3929645,"Juwan Johnson","TE","NOS",1,9,FALSE,FALSE,1,2023-09-03 18:42:52,FALSE,164,TRUE,20,FALSE,NA,2023-09-03
"17",14,9,165,12,"Böblingen Ballers","olliwolli",15835,"Zach Ertz","TE","ARI",1,1,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,165,TRUE,6,FALSE,"{9A0F8FD2-F018-4225-9F35-8D4CDC07130E}",2023-09-03
"18",14,10,166,7,"Team Roy","JR251978",3121427,"Curtis Samuel","WR","WAS",1,4,FALSE,FALSE,0,2023-09-03 18:42:52,FALSE,166,TRUE,20,FALSE,"{E6D02FA0-B840-4917-B671-15C15A62FF1C}",2023-09-03
