"gsis_id","name","position","games","pts_tot","pts_avg","pts_std_tot","pts_std_avg","pts_adj_tot","pts_adj_avg"
"00-0019596","T.Brady","QB",17,355.52,20.9129411764706,326.96,19.2329411764706,28.56,1.68
"00-0023459","A.Rodgers","QB",17,273.9,16.1117647058824,296.8,17.4588235294118,-22.9,-1.34705882352941
"00-0024243","M.Lewis","TE",6,25.32,4.22,24.6,4.1,0.72,0.12
"00-0026143","M.Ryan","QB",12,168.45,14.0375,193.98,16.165,-25.53,-2.1275
"00-0026158","J.Flacco","QB",5,37.7,7.54,66.44,13.288,-28.74,-5.748
"00-0026189","D.Jackson","WR",7,22.08,3.15428571428571,24.3,3.47142857142857,-2.22,-0.317142857142857
"00-0026197","C.Henne","QB",1,-2,-2,0,0,-2,-2
"00-0026300","J.Johnson","QB",1,0.69,0.69,0.8,0.8,-0.11,-0.11
"00-0026498","M.Stafford","QB",9,115.1,12.7888888888889,135.18,15.02,-20.08,-2.23111111111111
"00-0026544","C.Daniel","QB",3,6.92,2.30666666666667,8.48,2.82666666666667,-1.56,-0.52
"00-0026625","B.Hoyer","QB",1,1.73,1.73,1.48,1.48,0.25,0.25
"00-0027688","C.McCoy","QB",4,27.62,6.905,34.9,8.725,-7.28000000000001,-1.82
"00-0027942","A.Green","WR",13,51.26,3.94307692307692,59.6,4.58461538461538,-8.34,-0.641538461538462
"00-0027944","J.Jones","WR",10,68.72,6.872,70.4,7.04,-1.68,-0.168
"00-0027948","B.Gabbert","QB",1,9.06,9.06,7.16,7.16,1.9,1.9
"00-0027966","M.Ingram","RB",10,70.2,7.02,52.1,5.21,18.1,1.81
"00-0027973","A.Dalton","QB",14,202.04,14.4314285714286,211.34,15.0957142857143,-9.30000000000002,-0.664285714285715
"00-0027981","K.Rudolph","TE",5,11.5,2.3,11.8,2.36,-0.3,-0.06
"00-0028002","R.Cobb","WR",13,82.7,6.36153846153846,81.7,6.28461538461538,0.999999999999999,0.0769230769230769
"00-0028118","T.Taylor","QB",2,12.42,6.21,13.32,6.66,-0.9,-0.45
"00-0028986","C.Keenum","QB",2,-2.74,-1.37,0.72,0.36,-3.46,-1.73
"00-0029000","C.Beasley","WR",4,10.88,2.72,9.5,2.375,1.38,0.345
"00-0029239","B.Bolden","RB",8,34.32,4.29,27.3,3.4125,7.02,0.8775
"00-0029263","R.Wilson","QB",15,168.64,11.2426666666667,262.46,17.4973333333333,-93.82,-6.25466666666667
"00-0029293","M.Jones","WR",16,109.44,6.84,116.9,7.30625,-7.46,-0.46625
"00-0029567","N.Foles","QB",2,-14.51,-7.255,1.76,0.879999999999999,-16.27,-8.135
"00-0029604","K.Cousins","QB",17,321.08,18.8870588235294,350.88,20.64,-29.8,-1.75294117647059
"00-0029608","T.Hilton","WR",3,19.5,6.5,19.1,6.36666666666667,0.4,0.133333333333333
"00-0029701","R.Tannehill","QB",12,155.68,12.9733333333333,190.34,15.8616666666667,-34.66,-2.88833333333333
"00-0029892","K.Juszczyk","RB",13,58.98,4.53692307692308,53.6,4.12307692307692,5.38,0.413846153846154
