rank,name,position,team,comp,attempt,pass_yds,pass_td,int,car,rush_yds,rush_td,receptions,rec_yds,rec_td,tar,pct_rost,pts_tot,pts_avg
1,Jonathan Taylor,RB,Ind,0,0,0,0,0,317,1546,13,42,341,1,54,99.9,335.5,22.4
2,Christian McCaffrey,RB,Car,0,0,0,0,0,216,944,7,90,681,2,105,99.8,331.8,23.7
3,Cooper Kupp,WR,LAR,0,0,0,0,0,4,25,0,114,1348,10,156,99.9,322.5,20.2
4,Austin Ekeler,RB,LAC,0,0,0,0,0,204,894,8,66,611,3,84,99.8,294,19.6
5,Justin Jefferson,WR,Min,2,3,19,0,0,4,24,0,98,1367,8,150,99.8,287.9,18
6,Ja'Marr Chase,WR,Cin,0,0,0,0,0,14,82,1,84,1258,9,131,99.8,275.7,17.2
7,Derrick Henry,RB,Ten,0,0,0,0,0,344,1466,11,29,217,1,37,99.8,268.8,17.9
8,Najee Harris,RB,Pit,0,0,0,0,0,276,1136,7,59,390,2,76,99.7,267.8,17.9
9,Dalvin Cook,RB,Min,0,0,0,0,0,257,1142,10,45,359,1,58,99.8,267,19.1
10,Davante Adams,WR,LV,0,0,0,0,0,0,0,0,96,1156,7,136,99.9,260.8,17.4
11,Deebo Samuel,WR,SF,0,0,0,0,0,60,373,4,68,983,5,104,99.8,265,16.6
12,Stefon Diggs,WR,Buf,0,0,0,0,0,0,0,0,93,1147,8,142,99.8,257.9,16.1
13,CeeDee Lamb,WR,Dal,0,0,0,0,0,9,59,0,87,1140,8,133,99.7,257.8,16.1
14,D'Andre Swift,RB,Det,0,0,0,0,0,202,858,7,66,502,3,84,99.5,268,17.9
15,Joe Mixon,RB,Cin,0,0,0,0,0,268,1125,10,42,281,2,51,99.8,263.7,17.6
16,Alvin Kamara,RB,NO,0,0,0,0,0,209,839,7,57,553,4,80,99.7,257.2,18.4
17,Tyreek Hill,WR,Mia,0,0,0,0,0,8,59,0,88,1090,7,130,99.8,250.8,15.7
18,Leonard Fournette,RB,TB,0,0,0,0,0,216,927,9,59,391,2,73,99.5,269,17.9
19,Javonte Williams,RB,Den,0,0,0,0,0,224,974,7,50,358,2,61,98.9,248.2,16.5
20,Mark Andrews,TE,Bal,0,0,0,0,0,0,0,0,81,1008,9,122,99.8,234.8,14.7
21,James Conner,RB,Ari,0,0,0,0,0,224,904,11,45,337,1,52,99,245.9,17.6
22,Aaron Jones,RB,GB,0,0,0,0,0,178,817,5,59,502,3,75,99.4,252.6,18
23,Cam Akers,RB,LAR,0,0,0,0,0,270,1103,8,36,280,2,48,98.2,231,15.4
24,Travis Kelce,TE,KC,0,0,0,0,0,2,7,0,91,1028,7,125,99.8,248.4,15.5
25,Keenan Allen,WR,LAC,0,0,0,0,0,0,0,0,93,1028,7,138,99.6,240.6,16
26,Tee Higgins,WR,Cin,0,0,0,0,0,0,0,0,80,1089,8,125,98.8,235.4,14.7
27,DJ Moore,WR,Car,0,0,0,0,0,8,54,0,80,1165,5,134,98.6,224.9,14.1
28,Saquon Barkley,RB,NYG,0,0,0,0,0,223,903,6,52,418,2,70,98.8,229.9,16.4
29,Nick Chubb,RB,Cle,0,0,0,0,0,240,1174,7,26,224,1,35,99.3,226.2,15.1
30,Mike Evans,WR,TB,0,0,0,0,0,0,0,0,73,1015,8,119,99.3,218,13.6
31,Jaylen Waddle,WR,Mia,0,0,0,0,0,8,48,0,90,962,6,130,99,234.4,14.6
32,Michael Pittman Jr.,WR,Ind,0,0,0,0,0,5,30,0,86,1054,6,129,98.1,228.9,14.3
33,David Montgomery,RB,Chi,0,0,0,0,0,220,882,7,46,332,2,59,97,222.6,14.8
34,J.K. Dobbins,RB,Bal,0,0,0,0,0,202,956,9,35,260,1,46,94.9,227.9,15.2
35,Breece Hall,RB,NYJ,0,0,0,0,0,241,1063,6,35,257,1,46,94,216.8,14.5
36,Ezekiel Elliott,RB,Dal,0,0,0,0,0,209,880,8,41,286,2,56,97.4,221.2,14.7
37,A.J. Brown,WR,Phi,0,0,0,0,0,0,0,0,74,1058,7,120,99,216.4,13.5
38,Terry McLaurin,WR,Wsh,0,0,0,0,0,0,0,0,77,1071,6,125,98.1,216.4,13.5
39,Diontae Johnson,WR,Pit,0,0,0,0,0,4,26,0,87,1065,4,141,96.2,213.2,13.3
40,Josh Jacobs,RB,LV,0,0,0,0,0,219,918,9,37,264,1,47,96.4,218.3,14.6
41,Antonio Gibson,RB,Wsh,0,0,0,0,0,233,987,9,29,211,1,38,94.2,209.3,14
42,Josh Allen,QB,Buf,369,575,4108,33,13,113,677,7,0,0,0,0,99.8,453.4,28.3
43,Mike Williams,WR,LAC,0,0,0,0,0,0,0,0,63,954,9,108,95.7,203,13.5
44,Brandin Cooks,WR,Hou,0,0,0,0,0,4,24,0,85,1033,4,126,94.3,218.1,13.6
45,Marquise Brown,WR,Ari,0,0,0,0,0,0,0,0,75,1027,6,119,92.7,208.2,13
46,DK Metcalf,WR,Sea,0,0,0,0,0,0,0,0,74,1082,5,125,97,203,12.7
47,Jerry Jeudy,WR,Den,0,0,0,0,0,4,24,0,71,1047,6,117,94,206.5,12.9
48,Patrick Mahomes,QB,KC,395,614,4594,36,12,62,358,3,0,0,0,0,99.8,432.9,27.1
49,Courtland Sutton,WR,Den,0,0,0,0,0,0,0,0,65,963,8,111,91.2,202.5,12.7
50,Kyle Pitts,TE,Atl,0,0,0,0,0,0,0,0,75,960,4,118,99.5,194.8,12.2
51,Travis Etienne Jr.,RB,Jax,0,0,0,0,0,144,634,4,54,422,2,71,90.8,202.3,13.5
52,Chris Godwin,WR,TB,0,0,0,0,0,4,24,0,77,884,6,107,93.4,209.9,14
53,Amon-Ra St. Brown,WR,Det,0,0,0,0,0,13,79,1,80,875,5,113,93.2,217.3,13.6
54,Darnell Mooney,WR,Chi,0,0,0,0,0,4,25,0,76,1086,4,128,91.6,204.3,12.8
55,Justin Herbert,QB,LAC,379,579,4259,34,12,58,270,3,0,0,0,0,99.6,410.1,25.6
56,Amari Cooper,WR,Cle,0,0,0,0,0,0,0,0,78,909,6,116,91.9,207.7,13
57,Gabriel Davis,WR,Buf,0,0,0,0,0,0,0,0,63,919,9,106,88.7,200.3,12.5
58,Michael Thomas,WR,NO,0,0,0,0,0,0,0,0,76,820,5,107,91.7,193.8,13.8
59,Elijah Mitchell,RB,SF,0,0,0,0,0,248,1040,8,26,181,1,33,90.9,200.4,13.4
60,Miles Sanders,RB,Phi,0,0,0,0,0,221,1079,5,32,260,1,43,89.7,212.4,14.2
61,Devin Singletary,RB,Buf,0,0,0,0,0,200,908,7,31,207,1,41,88.5,194.4,13
62,Cordarrelle Patterson,RB,Atl,0,0,0,0,0,134,546,3,45,395,2,60,89.8,172.9,12.3
63,Darren Waller,TE,LV,0,0,0,0,0,0,0,0,68,881,5,106,98.9,186.7,11.7
