"gsis_id","name","position","games","pts_tot","pts_avg","pts_std_tot","pts_std_avg","pts_adj_tot","pts_adj_avg","fs_pts_est","pos_rank"
"00-0034857","J.Allen","QB",102,2956.62,28.9864705882353,2721.24,26.6788235294118,235.38,2.30764705882353,492.77,1
"00-0029604","K.Cousins","QB",48,1258.56,26.22,1166.64,24.305,91.9199999999999,1.915,445.74,2
"00-0034796","L.Jackson","QB",96,2492.82,25.966875,2340.72,24.3825,152.1,1.584375,441.436875,3
"00-0033077","D.Prescott","QB",102,2623.8,25.7235294117647,2494.44,24.4552941176471,129.36,1.26823529411764,437.3,4
"00-0036389","J.Hurts","QB",68,1682.08,24.7364705882353,1655.28,24.3423529411765,26.7999999999998,0.394117647058821,420.52,5
"00-0037834","B.Purdy","QB",32,766.4,23.95,725.4,22.66875,40.9999999999999,1.28125,407.15,6
"00-0033873","P.Mahomes","QB",96,2280.3,23.753125,2055.72,21.41375,224.58,2.339375,403.803125,7
"00-0036264","J.Love","QB",68,1506.4,22.1529411764706,1545.04,22.7211764705882,-38.6400000000002,-0.56823529411765,376.6,8
"00-0026158","J.Flacco","QB",30,657.3,21.91,763.44,25.448,-106.14,-3.538,372.47,9
"00-0036212","T.Tagovailoa","QB",68,1466.4,21.5647058823529,1357.44,19.9623529411765,108.96,1.60235294117647,366.6,10
"00-0036358","C.Lamb","WR",68,1707.44,25.1094117647059,1620.8,23.8352941176471,86.64,1.27411764705882,426.86,1
"00-0033040","T.Hill","WR",96,2308.68,24.04875,2270.4,23.65,38.28,0.39875,408.82875,2
"00-0030279","K.Allen","WR",78,1751.22,22.4515384615385,1697.16,21.7584615384615,54.06,0.693076923076923,381.676153846154,3
"00-0036963","A.St. Brown","WR",48,1027.32,21.4025,998.7,20.80625,28.62,0.59625,363.8425,4
"00-0036322","J.Jefferson","WR",40,817.92,20.448,816.8,20.42,1.11999999999999,0.0279999999999998,347.616,5
"00-0039075","P.Nacua","WR",17,303.24,17.8376470588235,298.5,17.5588235294118,4.73999999999999,0.278823529411764,303.24,6
"00-0036554","N.Collins","WR",45,800.64,17.792,775.2,17.2266666666667,25.44,0.565333333333333,302.464,7
"00-0033536","M.Williams","WR",18,313.32,17.4066666666667,301.2,16.7333333333333,12.12,0.673333333333333,295.913333333333,8
"00-0035676","A.Brown","WR",85,1476.6,17.3717647058824,1468,17.2705882352941,8.59999999999998,0.101176470588235,295.32,9
"00-0034827","D.Moore","WR",102,1768.08,17.3341176470588,1731,16.9705882352941,37.08,0.363529411764706,294.68,10
"00-0035719","D.Samuel","WR",75,1287.3,17.164,1218.5,16.2466666666667,68.8,0.917333333333333,291.788,11
"00-0036900","J.Chase","WR",48,801.93,16.706875,788.16,16.42,13.77,0.286875,284.016875,12
"00-0038977","N.Dell","WR",10,162.9,16.29,165,16.5,-2.1,-0.21,276.93,13
"00-0031588","S.Diggs","WR",102,1649.04,16.1670588235294,1642.8,16.1058823529412,6.23999999999998,0.061176470588235,274.84,14
"00-0036261","B.Aiyuk","WR",64,1027.6,16.05625,1004.8,15.7,22.8,0.35625,272.95625,15
"00-0031408","M.Evans","WR",102,1626.48,15.9458823529412,1695,16.6176470588235,-68.52,-0.671764705882353,271.08,16
"00-0036252","M.Pittman","WR",64,1011.68,15.8075,992.8,15.5125,18.88,0.295,268.7275,17
"00-0031381","D.Adams","WR",102,1517.4,14.8764705882353,1592.4,15.6117647058824,-75,-0.735294117647059,252.9,18
"00-0036912","D.Smith","WR",48,708.06,14.75125,688.8,14.35,19.26,0.40125,250.77125,19
"00-0036613","J.Waddle","WR",42,608.04,14.4771428571429,595.8,14.1857142857143,12.24,0.291428571428571,246.111428571429,20
"00-0031544","A.Cooper","WR",90,1279.2,14.2133333333333,1362,15.1333333333333,-82.8,-0.92,241.626666666667,21
"00-0030035","A.Thielen","WR",102,1447.68,14.1929411764706,1374,13.4705882352941,73.68,0.72235294117647,241.28,22
"00-0039067","R.Rice","WR",16,226,14.125,214.5,13.40625,11.5,0.71875,240.125,23
"00-0037239","C.Olave","WR",32,449.12,14.035,458.6,14.33125,-9.48000000000001,-0.29625,238.595,24
"00-0039146","J.Reed","WR",16,223.64,13.9775,215.2,13.45,8.43999999999999,0.5275,237.6175,25
"00-0033280","C.McCaffrey","RB",96,2970.36,30.94125,2371.8,24.70625,598.56,6.235,526.00125,1
"00-0037840","K.Williams","RB",24,651.52,27.1466666666667,513.6,21.4,137.92,5.74666666666667,461.493333333333,2
"00-0031687","R.Mostert","RB",90,2005.8,22.2866666666667,1618.2,17.98,387.6,4.30666666666667,378.873333333333,3
"00-0033906","A.Kamara","RB",78,1717.32,22.0169230769231,1362,17.4615384615385,355.32,4.55538461538461,374.287692307692,4
"00-0039040","D.Achane","RB",11,241.28,21.9345454545455,192.7,17.5181818181818,48.58,4.41636363636364,372.887272727273,5
"00-0038120","Bre.Hall","RB",34,722.88,21.2611764705882,577,16.9705882352941,145.88,4.29058823529412,361.44,6
"00-0033553","J.Conner","RB",78,1606.8,20.6,1209,15.5,397.8,5.1,350.2,7
"00-0037256","R.White","RB",34,698.2,20.5352941176471,543.8,15.9941176470588,154.4,4.54117647058824,349.1,8
"00-0036973","T.Etienne","RB",51,1046.1,20.5117647058824,835.2,16.3764705882353,210.9,4.13529411764706,348.7,9
"00-0036223","J.Taylor","RB",40,818.72,20.468,625.6,15.64,193.12,4.828,347.956,10
"00-0039139","J.Gibbs","RB",15,305.28,20.352,244.1,16.2733333333333,61.18,4.07866666666667,345.984,11
"00-0034844","S.Barkley","RB",84,1701.96,20.2614285714286,1351.2,16.0857142857143,350.76,4.17571428571429,344.444285714286,12
"00-0037197","I.Pacheco","RB",28,567.32,20.2614285714286,431.8,15.4214285714286,135.52,4.84,344.444285714286,13
"00-0033897","J.Mixon","RB",102,2016.84,19.7729411764706,1590,15.5882352941176,426.84,4.18470588235294,336.14,14
"00-0035685","D.Montgomery","RB",70,1341.3,19.1614285714286,1036,14.8,305.3,4.36142857142857,325.744285714286,15
"00-0032764","D.Henry","RB",102,1951.32,19.1305882352941,1503.96,14.7447058823529,447.36,4.38588235294118,325.22,16
"00-0037248","J.Cook","RB",34,624.76,18.3752941176471,473.4,13.9235294117647,151.36,4.45176470588235,312.38,17
"00-0038542","B.Robinson","RB",17,312.1,18.3588235294118,252.3,14.8411764705882,59.8,3.51764705882353,312.1,18
"00-0035700","J.Jacobs","RB",65,1153.8,17.7507692307692,915.5,14.0846153846154,238.3,3.66615384615385,301.763076923077,19
"00-0034791","N.Chubb","RB",12,207.96,17.33,138.6,11.55,69.36,5.78,294.61,20
"00-0035261","T.Pollard","RB",85,1468.4,17.2752941176471,1113,13.0941176470588,355.4,4.18117647058823,293.68,21
"00-0038134","K.Walker","RB",30,516.56,17.2186666666667,398.8,13.2933333333333,117.76,3.92533333333333,292.717333333333,22
"00-0036275","D.Swift","RB",64,1083.6,16.93125,805.2,12.58125,278.4,4.35,287.83125,23
"00-0037746","B.Robinson","RB",30,503.4,16.78,400.2,13.34,103.2,3.44,285.26,24
"00-0033699","A.Ekeler","RB",84,1392.24,16.5742857142857,1153.2,13.7285714285714,239.04,2.84571428571429,281.762857142857,25
"00-0030506","T.Kelce","TE",90,1407.24,15.636,1328.4,14.76,78.84,0.876,265.812,1
"00-0035229","T.Hockenson","TE",75,1160.9,15.4786666666667,1105,14.7333333333333,55.9,0.745333333333333,263.137333333333,2
"00-0033881","E.Engram","TE",102,1519.56,14.8976470588235,1405.8,13.7823529411765,113.76,1.11529411764706,253.26,3
"00-0039065","S.LaPorta","TE",17,241.02,14.1776470588235,235.3,13.8411764705882,5.72,0.336470588235294,241.02,4
