"","franchise_name","player_name","team","pos","keeper_value"
"1","Ooh Baby I Like It Ra","Commanders D/ST","WAS","DST",10
"2","Ooh Baby I Like It Ra","Nick Folk","NEP","K",10
"3","Ooh Baby I Like It Ra","Josh Allen","BUF","QB",10
"4","Ooh Baby I Like It Ra","Alvin Kamara","NOS","RB",53
"5","Ooh Baby I Like It Ra","J.K. Dobbins","BAL","RB",24
"6","Ooh Baby I Like It Ra","Miles Sanders","PHI","RB",13
"7","Ooh Baby I Like It Ra","Rashaad Penny","SEA","RB",10
"8","Ooh Baby I Like It Ra","Chuba Hubbard","CAR","RB",10
"9","Ooh Baby I Like It Ra","Jeff Wilson Jr.","MIA","RB",10
"10","Ooh Baby I Like It Ra","Pat Freiermuth","PIT","TE",10
"11","Ooh Baby I Like It Ra","Tyler Higbee","LAR","TE",10
"12","Ooh Baby I Like It Ra","Amon-Ra St. Brown","DET","WR",24
"13","Ooh Baby I Like It Ra","Stefon Diggs","BUF","WR",57
"14","Ooh Baby I Like It Ra","Chase Claypool","CHI","WR",10
"15","Ooh Baby I Like It Ra","Christian Watson","GBP","WR",10
"16","Ooh Baby I Like It Ra","Michael Gallup","DAL","WR",10
"17","Ooh Baby I Like It Ra","Brandon Aiyuk","SFO","WR",10
"18","Lambeau Leaps","Chiefs D/ST","KCC","DST",10
"19","Lambeau Leaps","Jake Elliott","PHI","K",10
"20","Lambeau Leaps","Joe Burrow","CIN","QB",47
"21","Lambeau Leaps","Trey Lance","SFO","QB",12
"22","Lambeau Leaps","Daniel Jones","NYG","QB",10
"23","Lambeau Leaps","Breece Hall","NYJ","RB",23
"24","Lambeau Leaps","AJ Dillon","GBP","RB",10
"25","Lambeau Leaps","Dameon Pierce","HOU","RB",10
"26","Lambeau Leaps","Kenneth Walker III","SEA","RB",10
"27","Lambeau Leaps","Nyheim Hines","BUF","RB",23
"28","Lambeau Leaps","Robert Tonyan","GBP","TE",10
"29","Lambeau Leaps","Tyler Conklin","NYJ","TE",10
"30","Lambeau Leaps","Isaiah Likely","BAL","TE",10
"31","Lambeau Leaps","Courtland Sutton","DEN","WR",25
"32","Lambeau Leaps","Michael Pittman Jr.","IND","WR",28
"33","Lambeau Leaps","Brandin Cooks","HOU","WR",14
"34","Lambeau Leaps","A.J. Brown","PHI","WR",25
"35","Lambeau Leaps","Terry McLaurin","WAS","WR",12
"36","Running Up That Hill","49ers D/ST","SFO","DST",10
"37","Running Up That Hill","Cowboys D/ST","DAL","DST",10
"38","Running Up That Hill","Daniel Carlson","OAK","K",10
"39","Running Up That Hill","Jalen Hurts","PHI","QB",10
"40","Running Up That Hill","Gardner Minshew","PHI","QB",38
"41","Running Up That Hill","Nick Chubb","CLE","RB",23
"42","Running Up That Hill","Tony Pollard","DAL","RB",10
"43","Running Up That Hill","Cordarrelle Patterson","ATL","RB",10
"44","Running Up That Hill","Kenyan Drake","BAL","RB",10
"45","Running Up That Hill","Christian McCaffrey","SFO","RB",54
"46","Running Up That Hill","Mark Andrews","BAL","TE",34
"47","Running Up That Hill","Taysom Hill","NOS","TE",10
"48","Running Up That Hill","Tyreek Hill","MIA","WR",34
"49","Running Up That Hill","Allen Lazard","GBP","WR",10
"50","Running Up That Hill","Mecole Hardman","KCC","WR",10
"51","Running Up That Hill","Odell Beckham Jr.","FA","WR",10
"52","Running Up That Hill","Darius Slayton","NYG","WR",10
"53","Running Up That Hill","CeeDee Lamb","DAL","WR",24
"54","Total Luckbox","Steelers D/ST","PIT","DST",10
"55","Total Luckbox","Evan McPherson","CIN","K",10
"56","Total Luckbox","Justin Herbert","LAC","QB",21
"57","Total Luckbox","Kirk Cousins","MIN","QB",10
"58","Total Luckbox","Saquon Barkley","NYG","RB",43
"59","Total Luckbox","Josh Jacobs","OAK","RB",21
"60","Total Luckbox","Rhamondre Stevenson","NEP","RB",10
"61","Total Luckbox","Alexander Mattison","MIN","RB",10
"62","Total Luckbox","Cam Akers","LAR","RB",10
"63","Total Luckbox","Dallas Goedert","PHI","TE",10
"64","Total Luckbox","Gerald Everett","LAC","TE",10
"65","Total Luckbox","Ja'Marr Chase","CIN","WR",70
"66","Total Luckbox","Gabe Davis","BUF","WR",18
"67","Total Luckbox","Adam Thielen","MIN","WR",13
"68","Total Luckbox","Elijah Moore","NYJ","WR",10
"69","Total Luckbox","Marquez Valdes-Scantling","KCC","WR",10
