"","franchise_id","franchise_name","player_id","player_name","team","pos","status","acquisition_type","trans_date","player_value","suspension","susp_factor","keeper_base","keeper_value"
"1",1,"Ooh Baby I Like It Ra",-16034,"Texans D/ST","HOU","DST","NORMAL","ADD",2024-10-30,2,0,1,2,10
"2",1,"Ooh Baby I Like It Ra",4567104,"Will Reichard","MIN","K","NORMAL","DRAFT",2024-09-01,4,0,1,4,10
"3",1,"Ooh Baby I Like It Ra",3918298,"Josh Allen","BUF","QB","NORMAL","DRAFT",2024-09-01,12,0,1,12,14
"4",1,"Ooh Baby I Like It Ra",4426348,"Jayden Daniels","WAS","QB","NORMAL","DRAFT",2024-09-01,13,0,1,13,15
"5",1,"Ooh Baby I Like It Ra",4427366,"Breece Hall","NYJ","RB","NORMAL","DRAFT",2024-09-01,10,0,1,10,12
"6",1,"Ooh Baby I Like It Ra",3116385,"Joe Mixon","HOU","RB","NORMAL","DRAFT",2024-09-01,32,0,1,32,37
"7",1,"Ooh Baby I Like It Ra",4430104,"Sincere McCormick","OAK","RB","NORMAL","ADD",2024-12-11,15,0,1,15,17
"8",1,"Ooh Baby I Like It Ra",4569987,"Jaylen Warren","PIT","RB","NORMAL","TRADE",2024-11-20,7,0,1,7,10
"9",1,"Ooh Baby I Like It Ra",3116365,"Mark Andrews","BAL","TE","NORMAL","DRAFT",2024-09-01,26,0,1,26,30
"10",1,"Ooh Baby I Like It Ra",3054212,"Jonnu Smith","MIA","TE","NORMAL","ADD",2024-11-21,3,0,1,3,10
"11",1,"Ooh Baby I Like It Ra",4248528,"Christian Watson","GBP","WR","NORMAL","DRAFT",2024-09-01,12,0,1,12,14
"12",1,"Ooh Baby I Like It Ra",3126486,"Deebo Samuel Sr.","SFO","WR","NORMAL","DRAFT",2024-09-01,22,0,1,22,25
"13",1,"Ooh Baby I Like It Ra",4374302,"Amon-Ra St. Brown","DET","WR","NORMAL","DRAFT",2024-09-01,28,0,1,28,32
"14",1,"Ooh Baby I Like It Ra",4373678,"Khalil Shakir","BUF","WR","NORMAL","DRAFT",2024-09-01,2,0,1,2,10
"15",1,"Ooh Baby I Like It Ra",2976212,"Stefon Diggs","HOU","WR","NORMAL","ADD",2024-10-30,8,0,1,8,10
"16",1,"Ooh Baby I Like It Ra",4369863,"Cedric Tillman","CLE","WR","NORMAL","ADD",2024-12-12,1,0,1,1,10
"17",1,"Ooh Baby I Like It Ra",4430834,"Jalen McMillan","TBB","WR","NORMAL","ADD",2024-12-18,3,0,1,3,10
"18",2,"Lambeau Leaps of Faith",-16009,"Packers D/ST","GBP","DST","NORMAL","DRAFT",2024-09-01,1,0,1,1,10
"19",2,"Lambeau Leaps of Faith",-16019,"Giants D/ST","NYG","DST","NORMAL","ADD",2024-11-06,1,0,1,1,10
"20",2,"Lambeau Leaps of Faith",4689936,"Jake Bates","DET","K","NORMAL","ADD",2024-10-30,1,0,1,1,10
"21",2,"Lambeau Leaps of Faith",4426338,"Bo Nix","DEN","QB","NORMAL","ADD",2024-09-25,1,0,1,1,10
"22",2,"Lambeau Leaps of Faith",4260394,"Aidan O'Connell","OAK","QB","NORMAL","ADD",2024-12-04,1,0,1,1,10
"23",2,"Lambeau Leaps of Faith",4567048,"Kenneth Walker III","SEA","RB","NORMAL","DRAFT",2024-09-01,12,0,1,12,14
"24",2,"Lambeau Leaps of Faith",4678008,"Jonathon Brooks","CAR","RB","NORMAL","DRAFT",2024-09-01,13,6,0.647058823529412,20,23
"25",2,"Lambeau Leaps of Faith",4241416,"Chuba Hubbard","CAR","RB","NORMAL","DRAFT",2024-09-01,3,0,1,3,10
"26",2,"Lambeau Leaps of Faith",4428557,"Tyjae Spears","TEN","RB","NORMAL","ADD",2024-09-21,1,0,1,1,10
"27",2,"Lambeau Leaps of Faith",3051876,"Evan Engram","JAC","TE","NORMAL","DRAFT",2024-09-01,10,0,1,10,12
"28",2,"Lambeau Leaps of Faith",4572680,"Tucker Kraft","GBP","TE","NORMAL","ADD",2024-10-02,3,0,1,3,10
"29",2,"Lambeau Leaps of Faith",3121422,"Terry McLaurin","WAS","WR","NORMAL","DRAFT",2024-09-01,14,0,1,14,16
"30",2,"Lambeau Leaps of Faith",4047646,"A.J. Brown","PHI","WR","NORMAL","DRAFT",2024-09-01,29,0,1,29,33
"31",2,"Lambeau Leaps of Faith",4595348,"Malik Nabers","NYG","WR","NORMAL","DRAFT",2024-09-01,31,0,1,31,36
"32",2,"Lambeau Leaps of Faith",4683062,"Xavier Worthy","KCC","WR","NORMAL","DRAFT",2024-09-01,20,0,1,20,23
"33",2,"Lambeau Leaps of Faith",4569559,"Devaughn Vele","DEN","WR","NORMAL","ADD",2024-11-27,1,0,1,1,10
"34",3,"LaPorta Potties",-16002,"Bills D/ST","BUF","DST","NORMAL","ADD",2024-11-21,1,0,1,1,10
