"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
1,"Jonathan Taylor","RB","Ind",0,0,0,0,0,317,1546,13,42,341,1,54,99.9,335.5,22.4,15,1,"rb1",3.525,4.5,0.186754966887417,0.251396648044693,66.4582781456954,70.0782122905028,0.625,91,75.8454968120661
2,"Christian McCaffrey","RB","Car",0,0,0,0,0,216,944,7,90,681,2,105,99.8,331.8,23.7,14,2,"rb1",4.825,5.8,0.255629139072848,0.324022346368715,70.3152317880795,74.145251396648,0.805555555555556,101.111111111111,81.8571980986129
3,"Cooper Kupp","WR","LAR",0,0,0,0,0,4,25,0,114,1348,10,156,99.9,322.5,20.2,16,1,"wr1",3.89166666666667,4.1,0.238630556974962,0.254658385093168,68.1246806336229,69.0062111801242,0.621212121212121,89.1666666666666,75.4325194934712
4,"Austin Ekeler","RB","LAC",0,0,0,0,0,204,894,8,66,611,3,84,99.8,294,19.6,15,3,"rb1",0.725000000000001,1.7,0.0384105960264901,0.0949720670391063,58.1509933774835,61.31843575419,0.236111111111112,69.2222222222223,62.8972171179652
5,"Justin Jefferson","WR","Min",2,3,19,0,0,4,24,0,98,1367,8,150,99.8,287.9,18,16,2,"wr1",1.69166666666667,1.9,0.103730199284619,0.118012422360248,60.7051609606541,61.4906832298137,0.287878787878788,70.8333333333333,64.3430591746003
6,"Ja'Marr Chase","WR","Cin",0,0,0,0,0,14,82,1,84,1258,9,131,99.8,275.7,17.2,16,3,"wr1",0.891666666666666,1.1,0.0546755237608584,0.0683229813664595,58.0071538068472,58.7577639751553,0.166666666666666,64.1666666666666,60.3105281495564
7,"Derrick Henry","RB","Ten",0,0,0,0,0,344,1466,11,29,217,1,37,99.8,268.8,17.9,15,4,"rb1",-0.975000000000001,0,-0.0516556291390729,0,53.1072847682119,56,0,56,55.035761589404
8,"Najee Harris","RB","Pit",0,0,0,0,0,276,1136,7,59,390,2,76,99.7,267.8,17.9,15,5,"rb1",-0.975000000000001,0,-0.0516556291390729,0,53.1072847682119,56,0,56,55.035761589404
9,"Dalvin Cook","RB","Min",0,0,0,0,0,257,1142,10,45,359,1,58,99.8,267,19.1,14,6,"rb1",0.225000000000001,1.2,0.0119205298013246,0.0670391061452516,56.6675496688742,59.7541899441341,0.166666666666667,65.3333333333333,60.5850243154472
10,"Davante Adams","WR","LV",0,0,0,0,0,0,0,0,96,1156,7,136,99.9,260.8,17.4,15,4,"wr1",1.09166666666667,1.3,0.0669391926417986,0.0807453416149067,58.6816555952989,59.4409937888199,0.196969696969697,65.8333333333333,61.3186609058174
11,"Deebo Samuel","WR","SF",0,0,0,0,0,60,373,4,68,983,5,104,99.8,265,16.6,16,5,"wr1",0.291666666666668,0.5,0.0178845171180379,0.031055900621118,55.9836484414921,56.7080745341615,0.0757575757575758,59.1666666666667,57.2861298807734
12,"Stefon Diggs","WR","Buf",0,0,0,0,0,0,0,0,93,1147,8,142,99.8,257.9,16.1,16,6,"wr1",-0.208333333333332,0,-0.0127746550843126,0,54.2973939703628,55,0,55,54.7657979901209
13,"CeeDee Lamb","WR","Dal",0,0,0,0,0,9,59,0,87,1140,8,133,99.7,257.8,16.1,16,7,"wr1",-0.208333333333332,0,-0.0127746550843126,0,54.2973939703628,55,0,55,54.7657979901209
14,"D'Andre Swift","RB","Det",0,0,0,0,0,202,858,7,66,502,3,84,99.5,268,17.9,15,7,"rb1",-0.975000000000001,0,-0.0516556291390729,0,53.1072847682119,56,0,56,55.035761589404
15,"Joe Mixon","RB","Cin",0,0,0,0,0,268,1125,10,42,281,2,51,99.8,263.7,17.6,15,8,"rb1",-1.275,-0.299999999999997,-0.0675496688741721,-0.0167597765363127,52.2172185430464,55.0614525139665,-0.0416666666666663,53.6666666666667,53.6484459078932
16,"Alvin Kamara","RB","NO",0,0,0,0,0,209,839,7,57,553,4,80,99.7,257.2,18.4,14,9,"rb1",-0.475000000000001,0.5,-0.0251655629139074,0.0279329608938548,54.5907284768212,57.5642458100559,0.0694444444444444,59.8888888888889,57.347954391922
17,"Tyreek Hill","WR","Mia",0,0,0,0,0,8,59,0,88,1090,7,130,99.8,250.8,15.7,16,8,"wr1",-0.608333333333334,-0.400000000000002,-0.0373019928461932,-0.0248447204968945,52.9483903934594,53.6335403726708,-0.0606060606060609,51.6666666666667,52.7495324775989
18,"Leonard Fournette","RB","TB",0,0,0,0,0,216,927,9,59,391,2,73,99.5,269,17.9,15,10,"rb1",-0.975000000000001,0,-0.0516556291390729,0,53.1072847682119,56,0,56,55.035761589404
19,"Javonte Williams","RB","Den",0,0,0,0,0,224,974,7,50,358,2,61,98.9,248.2,16.5,15,11,"rb1",-2.375,-1.4,-0.125827814569536,-0.0782122905027932,48.953642384106,51.6201117318436,-0.194444444444444,45.1111111111111,48.5616217423536
20,"Mark Andrews","TE","Bal",0,0,0,0,0,0,0,0,81,1008,9,122,99.8,234.8,14.7,16,1,"te1",3.375,3.5,0.298013245033113,0.3125,6.49006622516556,6.5625,0.538461538461538,7.69230769230769,6.91495797249109
21,"James Conner","RB","Ari",0,0,0,0,0,224,904,11,45,337,1,52,99,245.9,17.6,14,12,"rb1",-1.275,-0.299999999999997,-0.0675496688741721,-0.0167597765363127,52.2172185430464,55.0614525139665,-0.0416666666666663,53.6666666666667,53.6484459078932
22,"Aaron Jones","RB","GB",0,0,0,0,0,178,817,5,59,502,3,75,99.4,252.6,18,14,13,"rb2",3.03333333333333,3.25,0.202672605790646,0.220338983050847,30.0668151447661,30.5084745762712,0.706521739130435,42.6630434782609,34.4127777330994
23,"Cam Akers","RB","LAR",0,0,0,0,0,270,1103,8,36,280,2,48,98.2,231,15.4,15,14,"rb2",0.433333333333334,0.65,0.0289532293986637,0.0440677966101695,25.7238307349666,26.1016949152542,0.141304347826087,28.5326086956522,26.7860447819577
24,"Travis Kelce","TE","KC",0,0,0,0,0,2,7,0,91,1028,7,125,99.8,248.4,15.5,16,2,"te1",4.175,4.3,0.368653421633554,0.383928571428572,6.84326710816777,6.91964285714286,0.661538461538462,8.30769230769231,7.35686742433431
25,"Keenan Allen","WR","LAC",0,0,0,0,0,0,0,0,93,1028,7,138,99.6,240.6,16,15,9,"wr1",-0.308333333333334,-0.100000000000001,-0.0189064895247828,-0.00621118012422369,53.9601430761369,54.6583850931677,-0.0151515151515154,54.1666666666667,54.2617316119904
26,"Tee Higgins","WR","Cin",0,0,0,0,0,0,0,0,80,1089,8,125,98.8,235.4,14.7,16,10,"wr1",-1.60833333333333,-1.4,-0.0986203372508943,-0.0869565217391306,49.5758814512008,50.2173913043478,-0.212121212121212,43.3333333333333,47.708868696294
27,"DJ Moore","WR","Car",0,0,0,0,0,8,54,0,80,1165,5,134,98.6,224.9,14.1,16,11,"wr1",-2.20833333333333,-2,-0.135411343893715,-0.124223602484472,47.5523760858457,48.167701863354,-0.303030303030303,38.3333333333333,44.684470427511
28,"Saquon Barkley","RB","NYG",0,0,0,0,0,223,903,6,52,418,2,70,98.8,229.9,16.4,14,15,"rb2",1.43333333333333,1.65,0.0957683741648106,0.111864406779661,27.3942093541203,27.7966101694915,0.358695652173913,33.9673913043478,29.7194036093199
29,"Nick Chubb","RB","Cle",0,0,0,0,0,240,1174,7,26,224,1,35,99.3,226.2,15.1,15,16,"rb2",0.133333333333333,0.35,0.00890868596881957,0.023728813559322,25.2227171492205,25.5932203389831,0.0760869565217391,26.9021739130435,25.906037133749
30,"Mike Evans","WR","TB",0,0,0,0,0,0,0,0,73,1015,8,119,99.3,218,13.6,16,12,"wr1",-2.70833333333333,-2.5,-0.166070516096065,-0.15527950310559,45.8661216147164,46.4596273291925,-0.378787878787879,34.1666666666667,42.1641385368585
31,"Jaylen Waddle","WR","Mia",0,0,0,0,0,8,48,0,90,962,6,130,99,234.4,14.6,16,13,"wr2",1.13333333333333,1.1,0.0841584158415841,0.0814814814814815,26.019801980198,25.9555555555556,0.578947368421052,37.8947368421053,29.9566981259529
32,"Michael Pittman Jr.","WR","Ind",0,0,0,0,0,5,30,0,86,1054,6,129,98.1,228.9,14.3,16,14,"wr2",0.833333333333334,0.800000000000001,0.0618811881188119,0.0592592592592593,25.4851485148515,25.4222222222222,0.421052631578948,34.1052631578947,28.3375446316562
33,"David Montgomery","RB","Chi",0,0,0,0,0,220,882,7,46,332,2,59,97,222.6,14.8,15,17,"rb2",-0.166666666666666,0.0500000000000007,-0.0111358574610245,0.00338983050847462,24.7216035634744,25.0847457627119,0.0108695652173915,25.2717391304348,25.0260294855403
34,"J.K. Dobbins","RB","Bal",0,0,0,0,0,202,956,9,35,260,1,46,94.9,227.9,15.2,15,18,"rb2",0.233333333333333,0.449999999999999,0.0155902004454342,0.0305084745762711,25.3897550111359,25.7627118644068,0.0978260869565216,27.445652173913,26.1993730164852
