"rank","name","position","team","comp","attempt","pass_yds","pass_td","int","car","rush_yds","rush_td","receptions","rec_yds","rec_td","tar","pct_rost","pts_tot","pts_avg","games","pos_rank","pos","pos_avg_var","pos_med_var","val_adj_avg","val_adj_med","val1","val2","val_adj_range","val3","avg_val"
1,"Jonathan Taylor","RB","Ind",0,0,0,0,0,317,1546,13,42,341,1,54,99.9,335.5,22.4,15,1,"rb1",58.5333333333334,67.6,0.211337104344687,0.252332960059724,67.8348778433025,70.1306457633445,0.774341351660939,99.3631156930126,79.1095464332199
2,"Christian McCaffrey","RB","Car",0,0,0,0,0,216,944,7,90,681,2,105,99.8,331.8,23.7,14,2,"rb1",54.8333333333334,63.9,0.197978096040438,0.238521836506159,67.0867733782645,69.3572228443449,0.731958762886598,96.9896907216495,77.8112289814197
3,"Cooper Kupp","WR","LAR",0,0,0,0,0,4,25,0,114,1348,10,156,99.9,322.5,20.2,16,1,"wr1",62.6916666666667,64.65,0.241299676043237,0.250727166957533,68.271482182378,68.7899941826643,0.690705128205128,92.988782051282,76.6834194721081
4,"Austin Ekeler","RB","LAC",0,0,0,0,0,204,894,8,66,611,3,84,99.8,294,19.6,15,3,"rb1",17.0333333333334,26.1,0.0614995787700085,0.097424412094065,59.4439764111205,61.4557670772676,0.298969072164949,72.7422680412371,64.5473371765417
5,"Justin Jefferson","WR","Min",2,3,19,0,0,4,24,0,98,1367,8,150,99.8,287.9,18,16,2,"wr1",28.0916666666666,30.05,0.108124579016583,0.116540624394027,60.946851845912,61.4097343416715,0.321047008547008,72.6575854700855,65.0047238858897
6,"Ja'Marr Chase","WR","Cin",0,0,0,0,0,14,82,1,84,1258,9,131,99.8,275.7,17.2,16,3,"wr1",15.8916666666667,17.85,0.0611668858453346,0.0692262943571843,58.3641787214934,58.8074461896451,0.190705128205128,65.488782051282,60.8868023208069
7,"Derrick Henry","RB","Ten",0,0,0,0,0,344,1466,11,29,217,1,37,99.8,268.8,17.9,15,5,"rb1",-8.16666666666663,0.900000000000034,-0.0294860994102779,0.00335946248600237,54.3487784330244,56.1881298992161,0.0103092783505159,56.5773195876289,55.7047426399565
8,"Najee Harris","RB","Pit",0,0,0,0,0,276,1136,7,59,390,2,76,99.7,267.8,17.9,15,7,"rb1",-9.16666666666663,-0.0999999999999659,-0.0330966421952099,-0.000373273609555677,54.1465880370682,55.9790966778649,-0.00114547537227911,55.9358533791524,55.3538460313618
9,"Dalvin Cook","RB","Min",0,0,0,0,0,257,1142,10,45,359,1,58,99.8,267,19.1,14,8,"rb1",-9.96666666666664,-0.899999999999977,-0.0359850764231555,-0.00335946248600215,53.9848357203033,55.8118701007839,-0.0103092783505152,55.4226804123712,55.0731287444861
10,"Davante Adams","WR","LV",0,0,0,0,0,0,0,0,96,1156,7,136,99.9,260.8,17.4,15,5,"wr1",0.991666666666674,2.94999999999999,0.00381691631651541,0.0114407601318596,55.2099303974083,55.6292418072523,0.0315170940170939,56.7334401709402,55.8575374585336
11,"Deebo Samuel","WR","SF",0,0,0,0,0,60,373,4,68,983,5,104,99.8,265,16.6,16,4,"wr1",5.19166666666666,7.14999999999998,0.019982679539404,0.0277292999806088,56.0990473746672,56.5251114989335,0.0763888888888886,59.2013888888889,57.2751825874965
12,"Stefon Diggs","WR","Buf",0,0,0,0,0,0,0,0,93,1147,8,142,99.8,257.9,16.1,16,6,"wr1",-1.90833333333336,0.0499999999999545,-0.00734515828976499,0.00019391118867541,54.5960162940629,55.0106651153772,0.000534188034187548,55.0293803418803,54.8786872504401
13,"CeeDee Lamb","WR","Dal",0,0,0,0,0,9,59,0,87,1140,8,133,99.7,257.8,16.1,16,7,"wr1",-2.00833333333333,-0.0500000000000114,-0.00773005741411935,-0.000193911188675631,54.5748468422234,54.9893348846228,-0.000534188034188156,54.9706196581197,54.8449337949886
14,"D'Andre Swift","RB","Det",0,0,0,0,0,202,858,7,66,502,3,84,99.5,268,17.9,15,6,"rb1",-8.96666666666664,0.100000000000023,-0.0323745336382235,0.000373273609555889,54.1870261162595,56.0209033221351,0.00114547537227976,56.0641466208477,55.4240253530808
15,"Joe Mixon","RB","Cin",0,0,0,0,0,268,1125,10,42,281,2,51,99.8,263.7,17.6,15,9,"rb1",-13.2666666666667,-4.19999999999999,-0.0478998676134312,-0.0156774916013437,53.3176074136479,55.1220604703247,-0.0481099656357387,53.3058419243986,53.9151699361238
